id_zone;INSEE;LIBGEO;DEP;REG;EPCI;TYPPRED;loypredm2;lwrIPm2;uprIPm2;R2adj;Nbobs_maille;NBobs_commune
1158;65177;Fontrailles;65;76;200070795;maille;6,200370827;4,593434302;8,369467345;0,715401705;496;0
1158;65178;Fr�ch�de;65;76;200070795;maille;6,200370827;4,593434302;8,369467345;0,715401705;496;0
625;65179;Fr�chendets;65;76;200070787;maille;6,834879229;4,699583575;9,940364573;0,523144374;617;0
690;65180;Fr�chet-Aure;65;76;246500573;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;0
625;65181;Fr�chou-Fr�chet;65;76;200070803;epci;6,727903463;4,627870391;9,780888656;0,523144374;617;1
622;65182;Gaillagos;65;76;200070811;epci;7,945564131;5,726056474;11,02538713;0,54005908;594;3
395;65183;Galan;65;76;200070787;epci;7,49316716;6,124850802;9,167170907;0,717483326;1271;18
395;65184;Galez;65;76;200070787;epci;7,49316716;6,124850802;9,167170907;0,717483326;1271;5
600;65185;Gard�res;65;76;200069300;epci;8,291325591;6,679987736;10,29134824;0,627370452;896;2
690;65186;Gaudent;65;76;200070829;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;0
395;65187;Gaussan;65;76;200070795;epci;6,820606149;5,582407824;8,333441358;0,717483326;1271;1
929;65189;Gayan;65;76;200069300;maille;7,370353296;6,07127398;8,9473985;0,706901657;509;2
690;65190;Gazave;65;76;200070787;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;0
622;65191;Gazost;65;76;200069300;epci;7,68878331;5,541736907;10,66766427;0,54005908;594;6
625;65192;Gavarnie-G�dre;65;76;200070811;maille;6,834879229;4,699583575;9,940364573;0,523144374;617;5
690;65193;Gembrie;65;76;200070829;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;5
690;65194;G�n�rest;65;76;200070829;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;1
625;65195;G�nos;65;76;246500573;epci;7,243694094;4,986304713;10,52304405;0,523144374;617;0
667;65196;Gensac;65;76;200072106;epci;6,810325237;5,253953744;8,827738516;0,546806542;1038;0
549;65197;Ger;65;76;200069300;maille;7,190527955;5,672163161;9,115339387;0,598818748;1281;0
625;65198;Gerde;65;76;246500482;epci;6,945348412;4,780238094;10,09110082;0,523144374;617;24
690;65199;Germ;65;76;246500573;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;0
622;65200;Germs-sur-l'Oussouet;65;76;200069300;epci;7,68878331;5,541736907;10,66766427;0,54005908;594;9
549;65201;Geu;65;76;200069300;maille;7,190527955;5,672163161;9,115339387;0,598818748;1281;3
549;65202;Gez;65;76;200070811;maille;7,190527955;5,672163161;9,115339387;0,598818748;1281;6
622;65203;Gez-ez-Angles;65;76;200069300;epci;7,68878331;5,541736907;10,66766427;0,54005908;594;0
395;65204;Gonez;65;76;200070803;maille;7,202662713;5,887441872;8,811696369;0,717483326;1271;0
625;65205;Gouaux;65;76;246500573;epci;7,243694094;4,986304713;10,52304405;0,523144374;617;2
395;65206;Goudon;65;76;200070803;maille;7,202662713;5,887441872;8,811696369;0,717483326;1271;0
625;65207;Gourgue;65;76;200070787;maille;6,834879229;4,699583575;9,940364573;0,523144374;617;1
625;65208;Grailhen;65;76;246500573;epci;7,243694094;4,986304713;10,52304405;0,523144374;617;0
625;65209;Gr�zian;65;76;246500573;epci;7,243694094;4,986304713;10,52304405;0,523144374;617;0
625;65210;Grust;65;76;200070811;maille;6,834879229;4,699583575;9,940364573;0,523144374;617;1
625;65211;Guchan;65;76;246500573;epci;7,243694094;4,986304713;10,52304405;0,523144374;617;0
625;65212;Guchen;65;76;246500573;epci;7,243694094;4,986304713;10,52304405;0,523144374;617;12
395;65213;Guizerix;65;76;200070795;epci;6,820606149;5,582407824;8,333441358;0,717483326;1271;0
395;65214;Hachan;65;76;200070795;epci;6,820606149;5,582407824;8,333441358;0,717483326;1271;0
667;65215;Hagedet;65;76;200072106;epci;6,810325237;5,253953744;8,827738516;0,546806542;1038;2
625;65216;Hauban;65;76;246500482;epci;6,945348412;4,780238094;10,09110082;0,523144374;617;0
690;65217;Hautaget;65;76;200070829;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;1
690;65218;H�ches;65;76;200070787;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;18
667;65219;H�res;65;76;200072106;epci;6,810325237;5,253953744;8,827738516;0,546806542;1038;1
600;65220;Hibarette;65;76;200069300;epci;8,291325591;6,679987736;10,29134824;0,627370452;896;4
600;65221;Hiis;65;76;246500482;maille;8,009841547;6,449894817;9,947070988;0,627370452;896;0
600;65222;Hitte;65;76;200070803;maille;8,009841547;6,449894817;9,947070988;0,627370452;896;0
600;65223;Horgues;65;76;200069300;epci;8,291325591;6,679987736;10,29134824;0,627370452;896;31
372;65224;Houeydets;65;76;200070787;maille;6,507143357;5,012352217;8,447713336;0,541946432;603;1
395;65225;Hourc;65;76;200070803;maille;7,202662713;5,887441872;8,811696369;0,717483326;1271;0
929;65226;Ibos;65;76;200069300;maille;7,370353296;6,07127398;8,9473985;0,706901657;509;38
690;65228;Ilhet;65;76;246500573;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;4
690;65229;Ilheu;65;76;200070829;maille;6,90937347;4,965408801;9,614403098;0,556812914;521;0
514;65230;Izaourt;65;76;200070829;maille;5,979855683;4,115138421;8,68954342;0,443269588;568;2
372;65231;Izaux;65;76;200070787;maille;6,507143357;5,012352217;8,447713336;0,541946432;603;8
1158;65232;Jacque;65;76;200070803;maille;6,200370827;4,593434302;8,369467345;0,715401705;496;7
